PACCAR INC,PACCAR INC,,P1AC
PACIFIC RDSL PARTICIPACOES SA,PACIFIC RDSL,,PACF
PACIFIC RUBIALES ENERGY CORP,PACIFIC RUB,,PREB
PACKAGING CORP OF AMERICA,PACKAGING CO,,P1KG
PADTEC HOLDING SA,PADTEC,NM,PDTC
PAGRISA PARA PASTORIL E AGRICOLA SA,PAGRISA,MB,PGSA
PAGSEGURO DIGITAL LTD,PAGSEGURO,,PAGS
PALANTIR TECHNOLOGIES INC,PALANTIRTECH,,P2LT
PALO ALTO NETWORKS INC,PALOALTO NET,,P2AN
PANATLANTICA SA,PANATLANTICA,,PATI
PANORAMA DESENVOLVIMENTO LOGISTICO FDO INV IMOB,FII PANORAMA,,PNDL
PANORAMA LAST MILE SBC FDO INV IMOB,FII LASTMILE,,PNLN
PANORAMA PROPERTIES FDO INVEST IMOB,FII PAN PROP,,PNPR
PAO DE ACUCAR  FIDC,FDC PACUCAR,MB,PADC
PARAMOUNT GLOBAL,PARAMOUNT GL,,C1BS
PARANA BCO SA,PARANA,,PRBC
PARANA EQUIPAMENTOS SA,PARANA EQUIP,,PREQ
PARANAPANEMA SA,PARANAPANEMA,NM,PMAM
PARCOM PARTICIPACOES SA,PARCOM PART,MB,PCPA
PARKERHANNIFIN CORP,PARKERHANNI,,P1HC
PARKING PARTNERS FDO INVEST IMOB,FII PARK PAR,,VTVI
PARMALAT  FIDC,FDC PARMALAT,,PMFC
PARMALAT BRASIL SA IND DE ALIMENTOS,PARMALAT,,LCSA
PARNASSA SA,PARNASSA,,PNSA
PARQUE ANHANGUERA FDO INVEST IMOB,FII PARQ ANH,,PQAG
PARQUES TEMATICOS HOPI HARI SA,PQT HOPI,,AVID
PARTICIPACOES INDUSTRIAIS DO NE SA,PART INDS NE,,BBPA
PATI DO ALFERES PARTICIPACOES SA,PATI ALFERES,,PAAP
PATRIA CIA SECURITIZADORA DE CRED IMOB,PATRIA SEC,,NOOS
PATRIA EDIFICIOS CORPORATIVOS FDO INV IMOB  FII,FII PATRIA,,PATC
PATRIA INFRAESTRUTURA ENERGIA CORE FIP INFRA,FIP PATR INF,,PICE
PATRIA INVESTIMENTOS IMOBILIARIOS SA,PATRIA INV,MB,MHAN
PATRIA LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO,FII PATR LOG,,PATL
PATRIM BRASIL PRIV EQTY FDO MINV ACOES,FIA PATRIM,MB,PTBR
